txId,response
ad40e03d-c187-4da4-a7a1-cc9a00afb285,"{""jsonrpc"":""2.0"",""error"":{""code"":-32003,""message"":""insufficient funds for gas * price + value: have 36202586074204147 want 36202586854112912""},""id"":1}"
49cd1c57-6e85-4fe2-9e9f-96cebcb0b7f7,"{""jsonrpc"":""2.0"",""error"":{""code"":-32003,""message"":""insufficient funds for gas * price + value: have 20199600000000000 want 20199600779908765""},""id"":1}"
3068e35b-496b-4cb2-9167-f9261059528e,"{""jsonrpc"":""2.0"",""error"":{""code"":-32003,""message"":""insufficient funds for gas * price + value: have 36467126168353637 want 36467126948262402""},""id"":1}"
a152bcbc-203c-4290-b8ad-f8c749139d8c,"{""jsonrpc"":""2.0"",""error"":{""code"":-32003,""message"":""insufficient funds for gas * price + value: have 20000000000000000 want 20000000779908765""},""id"":1}"
55bacacc-e447-427c-b5f7-484b190230b2,"{""jsonrpc"":""2.0"",""error"":{""code"":-32000,""message"":""insufficient funds for gas * price + value: balance 38250121191669911, tx cost 38250121971578676, overshot 779908765""},""id"":1}"
583334be-630f-4e51-809a-698e0bf0a4d1,"{""jsonrpc"":""2.0"",""error"":{""code"":-32003,""message"":""insufficient funds for gas * price + value: have 51500000000000000 want 51500000779908765""},""id"":1}"
cda26b7f-990c-4989-9f54-6ad2de1b211f,"{""jsonrpc"":""2.0"",""error"":{""code"":-32003,""message"":""insufficient funds for gas * price + value: have 23700000000000000 want 23700000779908765""},""id"":1}"
bdbf79a9-9ca1-4a75-9539-7b63fe4d234c,"{""jsonrpc"":""2.0"",""error"":{""code"":-32003,""message"":""insufficient funds for gas * price + value: have 186703193103771950 want 186703193883680715""},""id"":1}"
0661af74-3664-4b58-b9d4-8d3a928a8bd6,"{""jsonrpc"":""2.0"",""error"":{""code"":-32003,""message"":""insufficient funds for gas * price + value: have 40000000000000000 want 40000000779908765""},""id"":1}"
7f48e2e4-3481-49bf-8aac-e055e93803b0,"{""jsonrpc"":""2.0"",""error"":{""code"":-32003,""message"":""insufficient funds for gas * price + value: have 26050000000000000 want 26050000779908765""},""id"":1}"
85df9050-f5a6-49c9-bbd0-ecfcb0da1470,"{""jsonrpc"":""2.0"",""error"":{""code"":-32003,""message"":""insufficient funds for gas * price + value: have 75964373741150504 want 75964374521059269""},""id"":1}"
d0d0c37f-c2a6-46d6-9be0-a1eff445091e,"{""jsonrpc"":""2.0"",""error"":{""code"":-32000,""message"":""insufficient funds for gas * price + value: balance 30000000000000000, tx cost 30000000779908765, overshot 779908765""},""id"":1}"
c79aa143-452d-4081-a542-12e25725d576,"{""jsonrpc"":""2.0"",""error"":{""code"":-32003,""message"":""insufficient funds for gas * price + value: have 162626620000000000 want 162626620779908765""},""id"":1}"
